bahnstrommast_110_abspann | Bahnstrommast (Abspannmast)
bahnstrommast_110_trag | Bahnstrommast (Tragmast)
bahnstrommast_110_zweiebenen_abspann | Bahnstrommast, zweiebenig (Abspannmast)
bahnstrommast_110_zweiebenen_trag | Bahnstrommast, zweiebenig (Tragmast)
betonmast_20kv_dreieck_trag | Betonmast, Dreiecksanordnung (Tragmast)
betonmast_20kv_einebene_abspann | Betonmast, Einebenenanordnung (Abspannmast)
betonmast_20kv_einebene_trag | Betonmast, Einebenenanordnung (Tragmast)
donaumast_110_abspann | Donaumast 110 kV (Abspannmast)
donaumast_110_trag | Donaumast 110 kV (Tragmast)
donaumast_220_abspann | Donaumast 220 kV (Abspannmast)
donaumast_220_trag | Donaumast 220 kV (Tragmast)
donaumast_380_abspann | Donaumast (Abspannmast)
donaumast_380_trag | Donaumast (Tragmast)
einebenenmast_110_abspann | Einebenenmast 110 kV (Abspannmast)
einebenenmast_110_trag | Einebenenmast 110 kV (Tragmast)
einebenenmast_380_abspann | Einebenenmast (Abspannmast)
einebenenmast_380_trag | Einebenenmast (Tragmast)
fernmeldemast_bahn_abspann | Streckenfernmeldemast (Abspannmast)
fernmeldemast_bahn_trag | Streckenfernmeldemast (Tragmast)
holzmast_nsp_abspann | Niederspannungsmast, Holz (Abspannmast)
holzmast_nsp_trag | Niederspannungsmast, Holz (Tragmast)
kombimast_380_110_abspann | Kombinationsmast 380/110 kV (Abspannmast)
kombimast_380_110_trag | Kombinationsmast 380/110 kV (Tragmast)
kompaktmast_380_abspann | Kompaktmast (Abspannmast)
kompaktmast_380_trag | Kompaktmast (Tragmast)
masttrafo_20kv | Masttransformatorstation
portalmast_380_abspann | Portalmast (Abspannmast)
stahlgittermast_20kv_abspann | Stahlgittermast, Mittelspannung (Abspannmast)
stahlgittermast_20kv_trag | Stahlgittermast, Mittelspannung (Tragmast)
tannenbaummast_220_abspann | Tannenbaummast (Abspannmast)
tannenbaummast_220_trag | Tannenbaummast (Tragmast)
tonnenmast_380_abspann | Tonnenmast (Abspannmast)
tonnenmast_380_trag | Tonnenmast (Tragmast)
